interaction_id,source_id,pop_id,ReportedCommonName,ReportedScientificName,method,count_sample,count_dietitems,percent_FO,percent_relativeFO,percent_weight,percent_volume,via,percent_IV,HarmonizedScientificName,study_specificity,life-stage,winter,spring,summer,autumn,location_of_interaction,notes
int_0741,Rodríguez-Estrella et al. 2000,,Morningglory,Ipomoea sp.,scat,,,,,,,,n/a,Ipomoea,,,,,,,Table 1,
int_0743,Rodríguez-Estrella et al. 2000,,Butterfly,Lepidoptera,scat,,,,,,,,n/a,Lepidoptera,,,,,,,Table 1,
int_0744,Rodríguez-Estrella et al. 2000,,Desert-thorn,Lycium spp.,scat,,,,,,,,n/a,Lycium,,,,,,,Table 1,
int_0745,Rodríguez-Estrella et al. 2000,,Mallow,Malvaceae,scat,,,,,,,,n/a,Malvaceae,,,,,,,Table 1,
int_0746,Rodríguez-Estrella et al. 2000,,European mantis,Mantis religiosa,scat,,,,,,,,n/a,Mantis religiosa,,,,,,,Table 1,
int_0747,Rodríguez-Estrella et al. 2000,,Myrapod,Miriapoda,scat,,,,,,,,n/a,Myriapoda,,,,,,,Table 1,
int_0748,Rodríguez-Estrella et al. 2000,,Desert woodrat,Neotoma lepida,scat,,,,,,,,n/a,Neotoma lepida,,,,,,,Table 1,
int_0749,Rodríguez-Estrella et al. 2000,,n/a,Odocoileus hemionus,scat,,,,,,,,n/a,Odocoileus hemionus,,,,,,,Table 1,
int_0750,Rodríguez-Estrella et al. 2000,,n/a,Olneya tesota,scat,,,,,,,,n/a,Olneya tesota,,,,,,,Table 1,
int_0751,Rodríguez-Estrella et al. 2000,,Grasshopper,Orthoptera,scat,,,,,,,,n/a,Orthoptera,,,,,,,Table 1,
int_0752,Rodríguez-Estrella et al. 2000,,Cactus mouse,Peromyscus eremicus,scat,,,,,,,,n/a,Peromyscus eremicus,,,,,,,Table 1,
int_0753,Rodríguez-Estrella et al. 2000,,n/a,Phaulothamnus spinescens,scat,,,,,,,,n/a,Phaulothamnus spinescens,,,,,,,Table 1,
int_0754,Rodríguez-Estrella et al. 2000,,Leaf-toed gecko,Phyllodactylus nocticolus,scat,,,,,,,,n/a,Phyllodactylus nocticolus,,,,,,,Table 1,
int_0755,Rodríguez-Estrella et al. 2000,,Pokeweed,Phytolaccaceae,scat,,,,,,,,n/a,Phytolaccaceae,,,,,,,Table 1,
int_0756,Rodríguez-Estrella et al. 2000,,Common chuckwalla,Sauromalus ater,scat,,,,,,,,n/a,Sauromalus ater,,,,,,,Table 1,
int_1094,Rodríguez-Estrella et al. 2000,,Scarabs,Scarabaidae,scat,,,,,,,,n/a,Scarabaidae,,,,,,,Table 1,
int_1095,Rodríguez-Estrella et al. 2000,,Spiny lizard,Sceloporus spp.,scat,,,,,,,,n/a,Sceloporus,,,,,,,Table 1,
int_0757,Rodríguez-Estrella et al. 2000,,n/a,Scorpionoidea,scat,,,,,,,,n/a,Scorpionidae,,,,,,,Table 1,
int_0758,Rodríguez-Estrella et al. 2000,,n/a,Solanum hindsianum,scat,,,,,,,,n/a,Solanum hindsianum,,,,,,,Table 1,
int_0759,Rodríguez-Estrella et al. 2000,,n/a,Solifugae,scat,,,,,,,,n/a,Solifugae,,,,,,,Table 1,
int_0760,Rodríguez-Estrella et al. 2000,,n/a,Stenocereus thurberi,scat,,,,,,,,n/a,Stenocereus thurberi,,,,,,,Table 1,
int_0761,Rodríguez-Estrella et al. 2000,,Darkling beetle,Tenebrionidae,scat,,,,,,,,n/a,Tenebrionidae,,,,,,,Table 1,
int_0762,Rodríguez-Estrella et al. 2000,,Small-scaled lizard,Urosaurus microscutatus,scat,,,,,,,,n/a,Urosaurus nigricaudus,,,,,,,Table 1,
int_0766,Rodríguez-Estrella et al. 2000,,Common side-blotched lizard,Uta stansburiana,scat,,,,,,,,n/a,Uta stansburiana,,,,,,,Table 1,
int_1445,Romero-Ramírez 2008,Romero-Ramírez 2008,n/a,Salacayotla,scat,,,73.73,,,,,n/a,Cucurbita,unique,,,,,,text page 9 of Rivera Banuelos 2019,fro
int_1446,Romero-Ramírez 2008,Romero-Ramírez 2008,n/a,Malpighiaceae,scat,,,54.76,,,,,n/a,Malpighiaceae,unique,,,,,,text page 9 of Rivera Banuelos 2019,
int_1447,Romero-Ramírez 2008,Romero-Ramírez 2008,n/a,Ulmaceae,scat,,,54.07,,,,,n/a,Ulmaceae,unique,,,,,,text page 9 of Rivera Banuelos 2019,
int_1448,Romero-Ramírez 2008,Romero-Ramírez 2008,n/a,Anacardiaceae,scat,,,20.00,,,,,n/a,Anacardiaceae,unique,,,,,,text page 9 of Rivera Banuelos 2019,
int_1449,Romero-Ramírez 2008,Romero-Ramírez 2008,n/a,Ortópteros,scat,,,36.47,,,,,n/a,Orthoptera,unique,,,,,,text page 9 of Rivera Banuelos 2019,
int_1450,Romero-Ramírez 2008,Romero-Ramírez 2008,n/a,Odonatos,scat,,,28.57,,,,,n/a,Odonata,unique,,,,,,text page 9 of Rivera Banuelos 2019,
int_1451,Romero-Ramírez 2008,Romero-Ramírez 2008,n/a,Coleópteros,scat,,,21.82,,,,,n/a,Coleoptera,unique,,,,,,text page 9 of Rivera Banuelos 2019,
int_1452,Romero-Ramírez 2008,Romero-Ramírez 2008,n/a,Liomys irroratus,scat,,,29.5,,,,,n/a,Heteromys irroratus,unique,,,,,,text page 9 of Rivera Banuelos 2019,
int_1453,Romero-Ramírez 2008,Romero-Ramírez 2008,n/a,Rattus norvegicus,scat,,,26.05,,,,,n/a,Rattus norvegicus,unique,,,,,,text page 9 of Rivera Banuelos 2019,
int_1454,Romero-Ramírez 2008,Romero-Ramírez 2008,n/a,Sorex vagrans,scat,,,24.60,,,,,n/a,Sorex vagrans,unique,,,,,,text page 9 of Rivera Banuelos 2019,
int_1455,Romero-Ramírez 2008,Romero-Ramírez 2008,n/a,aves,scat,,,7,,,,,n/a,Aves,unique,,,,,,text page 9 of Rivera Banuelos 2019,
int_1456,Romero-Ramírez 2008,Romero-Ramírez 2008,n/a,reptiles,scat,,,12.65,,,,,n/a,Reptilia,unique,,,,,,text page 9 of Rivera Banuelos 2019,
int_0792,Rubalcava‐Castillo et al. 2020,,point-leaf manzanita,Arctostaphylos pungens,scat,,,,,,,,n/a,Arctostaphylos pungens,,,,,,,,
int_0763,Rubalcava‐Castillo et al. 2020,,Juniperus deppeana,Juniperus deppeana,scat,,,,,,,,n/a,Juniperus deppeana,,,,,,,,
int_0773,Sansores Sanchez 2016,,Spider,Aranae,scat,,,,,,,,n/a,Aranae,,,,,,,,
int_0764,Sansores Sanchez 2016,,Whiptail,Aspidocelis spp.,scat,,,,,,,,n/a,Aspidocelis,,,,,,,,
int_0765,Sansores Sanchez 2016,,cascaron,n/a,scat,,,,,,,,n/a,Aves,,,,,,,,
int_0767,Sansores Sanchez 2016,,Pluma,n/a,scat,,,,,,,,n/a,Aves,,,,,,,,
int_0768,Sansores Sanchez 2016,,Cockroach,Blattodea,scat,,,,,,,,n/a,Blattodea,,,,,,,,
int_0769,Sansores Sanchez 2016,,escarna?,n/a,scat,,,,,,,,n/a,Bone,,,,,,,,
int_0770,Sansores Sanchez 2016,,Strongbark,Bourreria sonorae,scat,,,,,,,,n/a,Bourreria sonorae,,,,,,,,
int_0781,Sansores Sanchez 2016,,Domestic goat,Capra hircus,scat,,,,,,,,n/a,Capra hircus,,,,,,,,
int_0771,Sansores Sanchez 2016,,Baja calfornia crucifixion thorn,Castela peninsularis,scat,,,,,,,,n/a,Castela peninsularis,,,,,,,,
int_0772,Sansores Sanchez 2016,,Spiny pocket mouse,Chaetodipus spinatus,scat,,,,,,,,n/a,Chaetodipus spinatus,,,,,,,,
int_0774,Sansores Sanchez 2016,,Variable sandsnake,Chilomeniscus punctatissmus,scat,,,,,,,,n/a,Chilomeniscus stramineus,,,,,,,,
int_0783,Sansores Sanchez 2016,,Beetle,Coleoptera,scat,,,,,,,,n/a,Coleoptera,,,,,,,,
int_0775,Sansores Sanchez 2016,,Racer,Masticophis spp.,scat,,,,,,,,n/a,Coluber,,,,,,,,
int_0776,Sansores Sanchez 2016,,Desert Iguana,Dipsosaurus dorsalis,scat,,,,,,,,n/a,Dipsosaurus dorsalis,,,,,,,,
int_0777,Sansores Sanchez 2016,,Brittlebush,Encelia farinosa,scat,,,,,,,,n/a,Encelia farinosa,,,,,,,,
int_0778,Sansores Sanchez 2016,,Rock fig,Ficus palmeri,scat,,,,,,,,n/a,Ficus palmeri,,,,,,,,
int_0780,Sansores Sanchez 2016,,Papel alumino,n/a,scat,,,,,,,,n/a,Foil,,,,,,,,
int_0782,Sansores Sanchez 2016,,Wasp,Hymenoptera,scat,,,,,,,,n/a,Hymenoptera,,,,,,,,
int_0785,Sansores Sanchez 2016,,Bushmint,Hyptis sp.,scat,,,,,,,,n/a,Hyptis,,,,,,,,
int_0786,Sansores Sanchez 2016,,Butterfly,Lepidoptero,scat,,,,,,,,n/a,Lepidoptera,,,,,,,,
int_0787,Sansores Sanchez 2016,,Black jack rabbit,Lepus insularis,scat,,,,,,,,n/a,Lepus insularis,,,,,,,,
int_0788,Sansores Sanchez 2016,,Palo blanco,Lysiloma candida,scat,,,,,,,,n/a,Lysiloma candida,,,,,,,,
int_0779,Sansores Sanchez 2016,,Teabush,Melochia tomentosa,scat,,,,,,,,n/a,Melochia tomentosa,,,,,,,,
int_0789,Sansores Sanchez 2016,,Bryant's woodrat,Neotoma bryanti,scat,,,,,,,,n/a,Neotoma bryanti,,,,,,,,
int_0784,Sansores Sanchez 2016,,n/a,Odonata,scat,,,,,,,,n/a,Odonata,,,,,,,,
int_0790,Sansores Sanchez 2016,,n/a,Olneya teosota,scat,,,,,,,,n/a,Olneya tesota,,,,,,,,
int_1136,Sansores Sanchez 2016,,Grasshopper,Orthoptera,scat,,,,,,,,n/a,Orthoptera,,,,,,,,
int_0791,Sansores Sanchez 2016,,n/a,Lophocereus spp.,scat,,,,,,,,n/a,Pachycereus,,,,,,,,
int_0793,Sansores Sanchez 2016,,n/a,Pachycereus pringlei,scat,,,,,,,,n/a,Pachycereus pringlei,,,,,,,,
int_0794,Sansores Sanchez 2016,,Paper,n/a,scat,,,,,,,,n/a,Paper,,,,,,,,
int_0795,Sansores Sanchez 2016,,Cactus mouse,Peromyscus eremicus,scat,,,,,,,,n/a,Peromyscus eremicus,,,,,,,,
int_0796,Sansores Sanchez 2016,,n/a,Vegetal aloctono,scat,,,,,,,,n/a,Plantae,,fruit,,,,,,
int_0797,Sansores Sanchez 2016,,Plastico,n/a,scat,,,,,,,,n/a,Plastic,,,,,,,,
int_0798,Sansores Sanchez 2016,,Grass,Poacea,scat,,,,,,,,n/a,Poaceae,,,,,,,,
int_0799,Sansores Sanchez 2016,,Velvet mesquite,Prosopis articulata,scat,,,,,,,,n/a,Prosopis velutina,,,,,,,,
int_0800,Sansores Sanchez 2016,,Common chuckwalla,Sauromalus ater,scat,,,,,,,,n/a,Sauromalus ater,,,,,,,,
int_0801,Sansores Sanchez 2016,,Spiny lizard,Sceloporus spp.,scat,,,,,,,,n/a,Sceloporus,,,,,,,,
int_0802,Sansores Sanchez 2016,,n/a,Scolopendromorpha,scat,,,,,,,,n/a,Scolopendromorpha,,,,,,,,
int_1096,Sansores Sanchez 2016,,n/a,Scorpionidae,scat,,,,,,,,n/a,Scorpionidae,,,,,,,,
int_0803,Sansores Sanchez 2016,,n/a,Solanaceae,scat,,,,,,,,n/a,Solanaceae,,,,,,,,
int_1135,Sansores Sanchez 2016,,n/a,Solifugae,scat,,,,,,,,n/a,Solifugae,,,,,,,,
int_1137,Sansores Sanchez 2016,,n/a,Stenocereus gummosus,scat,,,,,,,,n/a,Stenocereus gummosus,,,,,,,,
int_1138,Sansores Sanchez 2016,,n/a,stenocereus thurberi,scat,,,,,,,,n/a,Stenocereus thurberi,,,,,,,,
int_0807,Sansores Sanchez 2016,,Tarantula,Theraphosidae,scat,,,,,,,,n/a,Theraphosidae,,,,,,,,
int_0804,Sansores Sanchez 2016,,Small-scaled lizard,Usosaurus nigricaudus,scat,,,,,,,,n/a,Usosaurus nigricaudus,,,,,,,,
int_0805,Sansores Sanchez 2016,,Common side-blotched lizard,Uta stanburiana,scat,,,,,,,,n/a,Uta stanburiana,,,,,,,,
int_0806,Snyder et al. 1994,,Thick-billed parrot,Rhynchopsitta pachyrhynch,scat,,,,,,,,n/a,Rhynchopsitta pachyrhynch,,,,,,,,
int_1139,Stake and Cimprich 2003,,Black-capped vireo,Vireo atricapillus,observation,,,n/a,,n/a,n/a,,n/a,Vireo atricapilla,,egg,,,,,,
int_0839,Tavizón García 1998,,Material foliar,n/a,scat,,,,,24,,,n/a,Foil,,,,,,,Cuadro 15; page 32; BOSQUE  DE  PINO-ENCINO-CIPRES/ENCINO-PINO,
int_0821,Tavizón García 1998,,pulpas,n/a,scat,,,,,18,n/a,,n/a,Plantae,,,,,,,Cuadro 11; page 31; BOSQUE  DE PINO  PIÑONERO,
int_0853,Tavizón García 1998,,semillas,n/a,scat,,,,,70,,,n/a,Plantae,,seeds,,,,,Cuadro 15; page 32; BOSQUE  DE  PINO-ENCINO-CIPRES/ENCINO-PINO,
int_0827,Tavizón García 1998,,pulpas,n/a,scat,,,,,5.6,,,n/a,Plantae,,,,,,,Cuadro 15; page 32; BOSQUE  DE  PINO-ENCINO-CIPRES/ENCINO-PINO,
int_0828,Tavizón García 1998,,semillas,n/a,scat,,,,,82,n/a,,n/a,Plantae,,seeds,,,,,Cuadro 11; page 31; BOSQUE  DE PINO  PIÑONERO,
int_0841,Taylor 1954,,Frog,n/a,whole specimens,,,,,,,,n/a,Anura,,,,,,,page 58 - 62; Table 1,
int_0829,Taylor 1954,,Barberry,n/a,whole specimens,,,,,,,,n/a,Berberis,,,,,,,page 58 - 62; Table 1,
int_0830,Taylor 1954,,toad,n/a,whole specimens,,,,,,,,n/a,Bufonidae,,,,,,,page 58 - 62; Table 1,
int_0843,Taylor 1954,,Cactus,n/a,whole specimens,,,,,,,,n/a,Cactacea,,seed,,,,,page 58 - 62; Table 1,
int_0854,Taylor 1954,,Cactus,n/a,whole specimens,,,,,,,,n/a,Cactacea,,fruit,,,,,page 58 - 62; Table 1,
int_0831,Taylor 1954,,Grasshopper,n/a,whole specimens,,,,,,,,n/a,Caelifera,,,,,,,page 58 - 62; Table 1,
int_0852,Taylor 1954,,Cardinal,n/a,observation,,,,,,,,n/a,Cardinalidae,,,,,,,page 58 - 62; Table 1,
int_0823,Taylor 1954,,Cardinal,n/a,whole specimens,,,,,,,,n/a,Cardinalidae,,,,,,,page 58 - 62; Table 1,
int_0808,Taylor 1954,,Hackberry,n/a,whole specimens,,,,,,,,n/a,Celtis,,,,,,,page 58 - 62; Table 1,
int_0809,Taylor 1954,,pocket mice,n/a,whole specimens,,,,,,,,n/a,Chaetodipus,,,,,,,page 58 - 62; Table 1,
int_0812,Taylor 1954,,Centipede,n/a,whole specimens,,,,,,,,n/a,Chilopoda,,,,,,,page 58 - 62; Table 1,
int_0836,Taylor 1954,,Yellow-shafted flicker,n/a,whole specimens,,,,,,,,n/a,Colaptes auratus,,,,,,,page 58 - 62; Table 1,
int_0824,Taylor 1954,,Beetle,n/a,whole specimens,,,,,,,,n/a,Coleoptera,,,,,,,page 58 - 62; Table 1,
int_0825,Taylor 1954,,bobwhite,n/a,observation,,,n/a,,n/a,n/a,,n/a,Colinus virginianus,,,,,,,page 58 - 62; Table 1,
int_0818,Taylor 1954,,Northern bobwhite,n/a,whole specimens,,,,,,,,n/a,Colinus virginianus,,,,,,,page 58 - 62; Table 1,
int_0819,Taylor 1954,,Snakewood,Condalia,whole specimens,,,,,,,,n/a,Condalia,,,,,,,page 58 - 62; Table 1,
int_0855,Taylor 1954,,Dogwood,n/a,whole specimens,,,,,,,,n/a,Cornus,,,,,,,page 58 - 62; Table 1,
int_0814,Taylor 1954,,Blue jay,n/a,whole specimens,,,,,,,,n/a,Cyanocitta cristata,,,,,,,page 58 - 62; Table 1,
int_0856,Taylor 1954,,Blue jay,n/a,whole specimens,,,,,,,,n/a,Cyanocitta cristata,,,,,,,page 58 - 62; Table 1,
int_0857,Taylor 1954,,Mexican persimmons,n/a,scat,,,,,,,,n/a,Diospyros texana,,,,,,,page 58 - 62; Table 1,
int_0820,Taylor 1954,,Texas persimmons,n/a,whole specimens,,,,,,,,n/a,Diospyros texana,,,,,,,page 58 - 62; Table 1,
int_0822,Taylor 1954,,millipedes,n/a,whole specimens,,,,,,,,n/a,Diplopoda,,,,,,,page 58 - 62; Table 1,
int_0826,Taylor 1954,,Fly,n/a,whole specimens,,,,,,,,n/a,Diptera,,,,,,,page 58 - 62; Table 1,
int_0858,Taylor 1954,,towhee,n/a,whole specimens,,,,,,,,n/a,Emberizidae,,,,,,,page 58 - 62; Table 1,
int_0816,Taylor 1954,,unidentified legums,n/a,whole specimens,,,,,,,,n/a,Fabaceae,,,,,,,page 58 - 62; Table 1,
int_0810,Taylor 1954,,Ant,n/a,whole specimens,,,,,,,,n/a,Formicidae,,,,,,,page 58 - 62; Table 1,
int_0859,Taylor 1954,,Bee,n/a,whole specimens,,,,,,,,n/a,Hymenoptera,,,,,,,page 58 - 62; Table 1,
int_0840,Taylor 1954,,Bug,n/a,whole specimens,,,,,,,,n/a,Insecta,,,,,,,page 58 - 62; Table 1,
int_0851,Taylor 1954,,ticks,n/a,whole specimens,,,,,,,,n/a,Ixodidae,,,,,,,page 58 - 62; Table 1,
int_0860,Taylor 1954,,Juniper,Juniperus,whole specimens,,,,,,,,n/a,Juniperus,,,,,,,page 58 - 62; Table 1,
int_0861,Taylor 1954,,Butterfly,n/a,whole specimens,,,,,,,,n/a,Lepidoptera,,,,,,,page 58 - 62; Table 1,
int_0817,Taylor 1954,,moths,n/a,whole specimens,,,,,,,,n/a,Lepidoptera,,,,,,,page 58 - 62; Table 1,
int_0835,Taylor 1954,,Golden-fronted woodpecker,n/a,whole specimens,,,,,,,,n/a,Melanerpes aurifrons,,,,,,,page 58 - 62; Table 1,
int_0862,Taylor 1954,,Song sparrow,n/a,whole specimens,,,,,,,,n/a,Melospiza melodia,,,,,,,page 58 - 62; Table 1,
int_0863,Taylor 1954,,skunks,n/a,whole specimens,,,,,,,,n/a,Mephitidae,,,,,,,page 58 - 62; Table 1,
int_0864,Taylor 1954,,wood rats,n/a,whole specimens,,,,,,,,n/a,Neotoma,,,,,,,page 58 - 62; Table 1,
int_0845,Taylor 1954,,Lacewings,n/a,whole specimens,,,,,,,,n/a,Neuroptera,,,,,,,page 58 - 62; Table 1,
int_0869,Taylor 1954,,Deer,n/a,whole specimens,,,,,,,,n/a,Odocoileus,,,,,,,page 58 - 62; Table 1,
int_0870,Taylor 1954,,dragonflies,n/a,whole specimens,,,,,,,,n/a,Odonata,,,,,,,page 58 - 62; Table 1,
int_0813,Taylor 1954,,domestic sheep,n/a,whole specimens,,,,,,,,n/a,Ovis aries,,,,,,,page 58 - 62; Table 1,
int_0844,Taylor 1954,,warbler (species unknown),n/a,whole specimens,,,,,,,,n/a,Parulidae,,,,,,,page 58 - 62; Table 1,
int_0872,Taylor 1954,,Indigo bunting,n/a,whole specimens,,,,,,,,n/a,Passerina cyanea,,,,,,,page 58 - 62; Table 1,
int_0849,Taylor 1954,,White-footed deermouse,n/a,observation,,,n/a,,n/a,n/a,,n/a,Peromyscus leucopus,,,,,,,page 58 - 62; Table 1,
int_0815,Taylor 1954,,White-footed deermouse,n/a,whole specimens,,,,,,,,n/a,Peromyscus leucopus,,,,,,,page 58 - 62; Table 1,
int_0811,Taylor 1954,,Daddy longleg,n/a,whole specimens,,,,,,,,n/a,Pholcidae,,,,,,,page 58 - 62; Table 1,
int_0846,Taylor 1954,,Harris woodpecker,n/a,whole specimens,,,,,,,,n/a,Picus villosus harrisi,,,,,,,page 58 - 62; Table 1,
int_0850,Taylor 1954,,wild plums,n/a,whole specimens,,,,,,,,n/a,Prunus,,,,,,,page 58 - 62; Table 1,
int_0842,Taylor 1954,,Oak,n/a,whole specimens,,,,,,,,n/a,Quercus,,,,,,,page 58 - 62; Table 1,
int_0837,Taylor 1954,,Western harvest mouse,n/a,whole specimens,,,,,,,,n/a,Reithrodontomys megalotis,,,,,,,page 58 - 62; Table 1,
int_0838,Taylor 1954,,Cascara buckthorn,n/a,whole specimens,,,,,,,,n/a,Rhamnus purshiana,,,,,,,page 58 - 62; Table 1,
int_0865,Taylor 1954,,Mistletoe,n/a,whole specimens,,,,,,,,n/a,Santalales,,,,,,,page 58 - 62; Table 1,
int_0832,Taylor 1954,,Soapberry,n/a,whole specimens,,,,,,,,n/a,Sapindus,,,,,,,page 58 - 62; Table 1,
int_0833,Taylor 1954,,Ground squirrel,n/a,whole specimens,,,,,,,,n/a,Sciuridae,,,,,,,page 58 - 62; Table 1,
int_0834,Taylor 1954,,Fox squirrel,n/a,observation,,,,,,,,n/a,Sciurus niger,,,,,,,page 58 - 62; Table 1,
int_0868,Taylor 1954,,Fox squirrel,n/a,whole specimens,,,,,,,,n/a,Sciurus niger,,,,,,,page 58 - 62; Table 1,
int_0866,Taylor 1954,,scorpions,n/a,whole specimens,,,,,,,,n/a,Scorpiones,,,,,,,page 58 - 62; Table 1,
int_0867,Taylor 1954,,Cotton Rat,n/a,whole specimens,,,,,,,,n/a,Sigmodon,,,,,,,page 58 - 62; Table 1,
int_0847,Taylor 1954,,Cottontail,n/a,observation,,,,,,,,n/a,Sylvilagus,,,,,,,page 58 - 62; Table 1,
int_0848,Taylor 1954,,Cottontail,n/a,whole specimens,,,,,,,,n/a,Sylvilagus,,,,,,,page 58 - 62; Table 1,
int_0871,Taylor 1954,,vinegarones,n/a,whole specimens,,,,,,,,n/a,Thelyphonida,,,,,,,page 58 - 62; Table 1,
int_0873,Taylor 1954,,thrasher,n/a,whole specimens,,,,,,,,n/a,Toxostoma rufum,,,,,,,page 58 - 62; Table 1,
int_0874,Taylor 1954,,robin,n/a,whole specimens,,,,,,,,n/a,Turdus migratorius,,,,,,,page 58 - 62; Table 1,
int_0875,Taylor 1954,,Mourning dove,n/a,observation,,,,,,,,n/a,Zenaida macroura,,,,,,,page 58 - 62; Table 1,
int_0885,Taylor 1954,,Mourning dove,n/a,whole specimens,,,,,,,,n/a,Zenaida macroura,,,,,,,page 58 - 62; Table 1,
int_0876,Taylor 1954,,White-throated sparrow,n/a,whole specimens,,,,,,,,n/a,Zonotrichia albicollis,,,,,,,page 58 - 62; Table 1,
int_0877,Toweill and Treer 1977,Toweill and Treer 1977,Arachnid,Arachnida,scat,,,,,,,,n/a,Arachnida,,,,,,,,
int_0878,Toweill and Treer 1977,Toweill and Treer 1977,Hackberry,Celtis sp.,scat,,,,,,,,n/a,Celtis,,,,,,,,
int_0879,Toweill and Treer 1977,Toweill and Treer 1977,Texas persimmons,Diospyros texana,scat,,,,,,,,n/a,Diospyros texana,,,,,,,,
int_0880,Toweill and Treer 1977,Toweill and Treer 1977,Mexican ground squirrel,Spermophilus mexicanus,scat,,,,,,,,n/a,Ictidomys mexicanus,,,,,,,,
int_0881,Toweill and Treer 1977,Toweill and Treer 1977,Insect,Insecta,scat,,,,,,,,n/a,Insecta,,,,,,,,
int_0886,Toweill and Treer 1977,Toweill and Treer 1977,Ashe's juniper,Juniperus ashei,scat,,,,,,,,n/a,Juniperus ashei,,,,,,,,
int_0882,Toweill and Treer 1977,Toweill and Treer 1977,Black-tailed jack rabbit,Lepus californicus,scat,,,,,,,,n/a,Lepus californicus,,,,,,,,
int_0883,Toweill and Treer 1977,Toweill and Treer 1977,Woodrat,Neotoma sp.,scat,,,,,,,,n/a,Neotoma,,,,,,,,
int_0884,Toweill and Treer 1977,Toweill and Treer 1977,n/a,Odocoileus virginianus,scat,,,,,,,,n/a,Odocoileus virginianus,,,,,,,,
int_0887,Toweill and Treer 1977,Toweill and Treer 1977,Pricklypear,Opuntia sp.,scat,,,,,,,,n/a,Opuntia,,,,,,,,
int_0894,Toweill and Treer 1977,Toweill and Treer 1977,n/a,Spermophilus variegatus,scat,,,,,,,,n/a,Otospermophilus variegatus,,,,,,,,
int_0888,Toweill and Treer 1977,Toweill and Treer 1977,n/a,Passeriformes,scat,,,,,,,,n/a,Passeriformes,,,,,,,,
int_0889,Toweill and Treer 1977,Toweill and Treer 1977,White-ankled deer mouse,Peromyscus pectoralis,scat,,,,,,,,n/a,Peromyscus pectoralis,,,,,,,,
int_0890,Toweill and Treer 1977,Toweill and Treer 1977,n/a,Sigmodon hispidus,scat,,,,,,,,n/a,Sigmodon hispidus,,,,,,,,
int_0891,Toweill and Treer 1977,Toweill and Treer 1977,Eastern cottontail,Sylvilagus floridanus,scat,,,,,,,,n/a,Sylvilagus floridanus,,,,,,,,
int_0892,Trapp 1973,Trapp 1973,Antelope squirrel,Citellus leucurus ,scat,1,1,0.44,0.16,n/a,,n/a,n/a,Ammospermophillus leucurus,unique,not described,,,,,Appendix D10; Appendix D19,
int_0893,Trapp 1973,Trapp 1973,Orbweaver,Araneida,scat,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Araneidae,unique,not described,,,,,Appendix D10; Appendix D19,
int_0896,Trapp 1973,Trapp 1973,Greenleaf manzanita,Arctostaphylos patula,scat,1,1,0.44,0.16,n/a,,n/a,n/a,Arcostaphylos patula,unique,not described,,,,,Appendix D10; Appendix D19,
int_0897,Trapp 1973,Trapp 1973,Unidentified Arthropoda,Arthropoda,scat,11,11,4.85,1.72,n/a,,n/a,n/a,Arthropoda,unique,not described,,,,,Appendix D10; Appendix D19,
int_0898,Trapp 1973,Trapp 1973,Bird,Aves,scat,33,33,14.54,5.17,n/a,,n/a,n/a,Aves,unique,not described,,,,,Appendix D10; Appendix D19,
int_0899,Trapp 1973,Trapp 1973,Netleaf hacberry,Celtis reticulata,scat,22,22,9.69,3.45,n/a,,n/a,n/a,Celtis reticulata,unique,not described,,,,,Appendix D10; Appendix D19,
int_0934,Trapp 1973,Trapp 1973,Western whiptail,Chemidophorus tigris,scat,1,1,0.44,0.16,n/a,,n/a,n/a,Cnemidophorus tigris,unique,not described,,,,,Appendix D10; Appendix D19,
int_0900,Trapp 1973,Trapp 1973,Beetle,Coleoptera,scat,46,46,20.26,7.21,n/a,,n/a,n/a,Coleoptera,unique,adult,,,,,Appendix D10; Appendix D19,
int_0901,Trapp 1973,Trapp 1973,Collared lizards,Crotaphytus collaris,scat,1,1,0.44,0.16,n/a,,n/a,n/a,Crotaphytus collaris,unique,not described,,,,,Appendix D10; Appendix D19,
int_0902,Trapp 1973,Trapp 1973,Gourd,Curcurbitaceae,scat,1,1,0.44,0.16,n/a,,n/a,n/a,Cucurbitaceae,unique,not described,,,,,Appendix D10; Appendix D19,
int_0903,Trapp 1973,Trapp 1973,Sedge,Cyperaceae,scat,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Cyperaceae,unique,not described,,,,,Appendix D10; Appendix D19,
int_0905,Trapp 1973,Trapp 1973,Soil & Sand,n/a,scat,8,8,3.52,1.25,n/a,,n/a,n/a,debris,unique,n/a,,,,,Appendix D10; Appendix D19,
int_0906,Trapp 1973,Trapp 1973,Unidentified,Mammal,scat,3,3,1.32,0.47,n/a,,n/a,n/a,Mammalia,elevated,not described,,,,,Appendix D10; Appendix D19,
int_0907,Trapp 1973,Trapp 1973,Hedgehog cactus,Echinocerus spp. ,scat,5,5,2.20,0.78,n/a,,n/a,n/a,Echinocerus,unique,not described,,,,,Appendix D10; Appendix D19,
int_0908,Trapp 1973,Trapp 1973,foil,n/a,scat,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Foil,unique,n/a,,,,,Appendix D10; Appendix D19,
int_0909,Trapp 1973,Trapp 1973,Ant,Formicidae,scat,6,6,2.64,0.94,n/a,,n/a,n/a,Formicidae,unique,not described,,,,,Appendix D10; Appendix D19,
